MEDICATION;ATC_CODE;CAT_MATCH;size;PIPE;INGREDIENT;STEP1;STEP2;STEP31;STEP32;STEP33;LEV1;LEV2;LEV3;TRUE12;TRUE123;TRUE13;TRUE23;MATCH;ATC_JOS_LVL1;ATC_CODE_LVL1;eval1;eval2;eval31;eval32;eval33;correct;level;kommentar;Kommentar Apotheke
ZYPREXA VELOTAB Schmelztabletten | (Olanzapin);;No Match;582;1;olanzapin;N05AH03;;N05AH03;;;88;;;0;0;1;0;0;N;;1;;1;;;0;5;;
PREDNISOLON Jenapharm Tabletten | (Prednisolon);;No Match;579;1;prednisolon;;;H02AB06;;;91;;;0;0;0;0;0;H;;;;1;;;0;5;;
CEFUROXIM Fresenius 1500 mg Plv.Inf.-Lsg.-Herst. | (Cefuroxim, Natrium-Ion);;No Match;578;1;cefuroxim, natrium-ion;;;J01DC02;;;90;;;0;0;0;0;0;J;;;;1;;;0;5;;
E154;;No Match;577;0;;;;A10BG03;A11DA01;;29;29.0;;0;0;0;0;0;A;;;;0;0;;B05BB11;5;;
EXFORGE 5 mg/160 mg Filmtabletten | (Amlodipin);;No Match;575;1;amlodipin;;;C09DB01;;;91;;;0;0;0;0;0;C;;;;1;;;0;5;;
MONO EMBOLEX 3.000 I.E.Prophyl.Sicherh.Spr. | (Certoparin natrium) !!!GFR>30;;No Match;574;1;certoparin natrium) !!!gfr>3;;;B01AB13;B03AC;;80;58.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
Dexamethason;;No Match;569;0;;;;H02AB02;;;100;;;0;0;0;0;0;H;;;;1;;;0;5;;
ZYPREXA überzogene Tabletten | (Olanzapin);;No Match;569;1;olanzapin;N05AH03;;N05AH03;;;78;;;0;0;1;0;0;N;;1;;1;;;0;5;;
CEFUROXIM 1500 mg Plv.Inf.-Lsg.-Herst. in 50ml NaCl über 1h| (Cefuroxim, Natrium-Ion);;No Match;565;1;cefuroxim, natrium-ion;;;J01DC02;;;84;;;0;0;0;0;0;J;;;;1;;;0;5;;
EZETROL 10 mg Tabletten | (Ezetimib);;No Match;559;1;ezetimib;;;C10AX09;;;50;;;0;0;0;0;0;C;;;;1;;;0;5;;
INHIXA 4.000 I.E. 40 mg/0,4 bei GFR > 30;;No Match;558;0;;;;B02BD09;B02BD36;;69;69.0;;0;0;0;0;0;B;;;;0;0;;B01AB05;5;;
HCT HEXAL 12,5 mg Tabletten | (Hydrochlorothiazid);;No Match;557;1;hydrochlorothiazid;C03AA03;C03AA03;C03AA03;;;93;;;1;1;1;1;0;C;;1;1;1;;;0;5;;
Novalgin;;No Match;554;0;;;N02BB02;N02BB02;S02DA55;G01AF01;100;67.0;57.0;0;0;0;1;0;N;;;1;1;0;0;0;5;;
CALCIUM SANDOZ forte Brausetabletten | (Calcium-Ion);;No Match;553;1;calcium-ion;;;A12AX02;V03AE01;;79;67.0;;0;0;0;0;0;A;;;;0;0;;A12AA20;5;;
PIPERACILLIN+Tazobactam Teva 4g/500mg P.z.H.e.L. | (Piperacillin, Tazobactam, Natrium-Ion);;No Match;539;1;piperacillin, tazobactam, natrium-ion;;;J01CR05;;;93;;;0;0;0;0;0;J;;;;1;;;0;5;;
LYRICA 150 mg Hartkapseln | (Pregabalin);;No Match;537;1;pregabalin;N03AX16;;N03AX16;;;80;;;0;0;1;0;0;N;;1;;1;;;0;5;;
SEROQUEL 25 mg Filmtabletten | (Quetiapin);;No Match;535;1;quetiapin;N05AH04;;N05AH04;;;73;;;0;0;1;0;0;N;;1;;1;;;0;5;;
NaCl;;No Match;535;0;;;B05CB01;B05CB01;N06AA12;;100;60.0;;0;0;0;1;0;B;;;0;0;0;;B05BB;4;mehrere ATC codes für NaCl möglich?;"B05BB11 = Physiologische Kochsalzlösung; die bezeihcnung Nacl ist aber nicht eindeutig- ist auch in anderen Elektrolytlösungen enthalten und auch diese könnten gemeint sein, daher vielleicht den Atc code B05BB verwenden?"
Torem 10 mg;;No Match;534;0;;;;L04AC16;N05BA06;C03CA04;75;73.0;71.0;0;0;0;0;0;L;;;;0;0;1;0;5;;
Kalinor BT;A12BA30;Fuzzy Match;530;0;;;;A12BA30;A12BA01;V03AE01;100;82.0;58.0;0;0;0;0;1;A;A;;;1;0;0;0;5;;
DOLO-DOBENDAN 1,4 mg/10 mg Lutschtabletten | (Cetylpyridinium-Kation);R02AA56;Fuzzy Match;513;1;cetylpyridinium-kation;R02AA56;;R02AA56;;;94;;;0;0;1;0;1;R;R;1;;1;;;0;5;;
PIPERACILLIN Tazobactam Kabi 4g/0,5g Plv.z.Hers. | (Piperacillin, Tazobactam, Natrium-Ion);;No Match;512;1;piperacillin, tazobactam, natrium-ion;;;J01CR05;;;100;;;0;0;0;0;0;J;;;;1;;;0;5;;
VITAMIN B12 1.000 µg Lichtenstein Ampullen | (Cyanocobalamin);;No Match;505;1;cyanocobalamin;B03BA01;;B03BA01;;;79;;;0;0;1;0;0;B;;1;;1;;;0;5;;
Tavor Expidet (Lorazepam);;No Match;499;0;;;;N05BA06;;;81;;;0;0;0;0;0;N;;;;1;;;0;5;;
TAVOR Expidet Täfelchen | (Lorazepam);;No Match;497;1;lorazepam;N05BA06;;N05BA06;;;81;;;0;0;1;0;0;N;;1;;1;;;0;5;;
QUETIAPIN HEXAL Retardtabletten | (Quetiapin);;No Match;494;1;quetiapin;N05AH04;;N05AH04;;;86;;;0;0;1;0;0;N;;1;;1;;;0;5;;
"NOVAMINSULFON ratio.1 g/2 ml Inj.Lsg. | (Metamizol)KI in 100ml NATRIUMCHLORID Inf.Lsg.154";;No Match;491;1;metamizol) ki in 100ml natriumchlorid inf.lsg.15;;;N02BB02;;;76;;;0;0;0;0;0;N;;;;1;;;0;5;;
L-THYROXIN 125 Henning Tabletten | (Levothyroxin);;No Match;491;1;levothyroxin;;;H03AA01;;;98;;;0;0;0;0;0;H;;;;1;;;0;5;;
Inf. E153 + Glucose 5% (i.v.) 500 mL;;No Match;489;0;;;;N04BC05;G04BX21;L04AA44;57;53.0;53.0;0;0;0;0;0;N;;;;0;0;0;B05BB02;5;mehr als ein Medi?;B05BB02
LEVODOPA ratioph.comp.100mg/25mg Tabletten | (Carbidopa);;No Match;481;1;carbidopa;;;N04BA10;;;78;;;0;0;0;0;0;N;;;;1;;;0;5;;
FENISTIL Injektionslösung | (Dimetinden);;No Match;478;1;dimetinden;;;D04AA13;R06AB03;;100;77.0;;0;0;0;0;0;D;;;;0;1;;0;5;;
NaCl 0,9% Ampullen | (Natrium-Ion, Chlorid);;No Match;473;1;natrium-ion, chlorid;;;J01EE01;B05CB01;;64;64.0;;0;0;0;0;0;J;;;;0;1;;0;5;;
QUETIAPIN HEXAL Filmtabletten | (Quetiapin);;No Match;472;1;quetiapin;N05AH04;;N05AH04;;;86;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Movicol Btl.;;No Match;468;0;;;;A06AD65;S01EB09;;78;60.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
Movicol;;No Match;468;0;;;A06AD65;A06AD65;S01EB09;;100;62.0;;0;0;0;1;0;A;;;1;1;0;;0;5;;
VANCOMYCIN 1,0 g Plv.z.Her.e.Lsg.in 250 ml NaCl über 2 h| (Vancomycin-Standard);;No Match;467;1;vancomycin-standard;;;A07AA09;;;77;;;0;0;0;0;0;A;;;;0;;;J01XA01;5;;
FALITHROM Filmtabletten | (Phenprocoumon);;No Match;465;1;phenprocoumon;B01AA04;;B01AA04;;;82;;;0;0;1;0;0;B;;1;;1;;;0;5;;
JODID 100 HEXAL Tabletten | (Iodid-Ion);;No Match;463;1;iodid-ion;H03CA01;;H03CA01;;;67;;;0;0;1;0;0;H;;1;;1;;;0;5;;
Zopiclon;;No Match;463;0;;;N05CF01;N05CF01;;;100;;;0;0;0;1;0;N;;;1;1;;;0;5;;
NATRIUMCHLORID Inf.Lsg.154 | (Natrium-Ion, Chlorid-Ion);;No Match;462;1;natrium-ion, chlorid-ion;;;B05BB11;B05XA03;;82;70.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
HEPARIN NATRIUM 7 500 ratiopharm Fertigspritzen | (Heparin natrium (Schwein));;No Match;460;1;heparin natrium (schwein);;;B01AB01;;;94;;;0;0;0;0;0;B;;;;1;;;0;5;;
"[1 - Wässerung vor / nach  CYP]NATRIUMCHLORID Inf.Lsg.154 über 4h";;No Match;459;0;;;;A01AB02;D07AC13;;51;50.0;;0;0;0;0;0;A;;;;0;0;;B05BB11;5;;
Morphin;;No Match;456;0;;;;N02AA01;;;100;;;0;0;0;0;0;N;;;;1;;;0;5;;
"[2 - Prä CYP, Granisetron]NATRIUMCHLORID Inf.Lsg.154";;No Match;455;0;;;;M01AX24;A02BC04;A07DA03;55;53.0;50.0;0;0;0;0;0;M;;;;0;0;0;B05BB11;5;;
Dermatop® BC ans Bett - ges. Integument;;No Match;454;0;;;;D07AC18;;;70;;;0;0;0;0;0;D;;;;1;;;0;5;ATC Code D07AC18 korrekt?;V07AT
BISOPROLOL ratiopharm 5 mg Tabletten | (Bisoprolol);;No Match;454;1;bisoprolol;;;C07AB07;;;96;;;0;0;0;0;0;C;;;;1;;;0;5;;
AMBROXOL ratiopharm 15 mg/2 ml Inj.Lsg. Ampullen in 50ml NaCl 0,9%;;No Match;453;0;;;;R05CB06;;;93;;;0;0;0;0;0;R;;;;1;;;0;5;;
INNOHEP 20.000 Anti XA I.E./ml 0,9ml Fertigspr. | (Tinzaparin natrium);;No Match;452;1;tinzaparin natrium;B01AB10;;B01AB10;;;77;;;0;0;1;0;0;B;;1;;1;;;0;5;;
ELEKTROLYT Inf.-Lsg. 153 PE-Flasche;;No Match;447;0;;;;B05BB01;;;78;;;0;0;0;0;0;B;;;;1;;;0;5;;
VANCOMYCIN CP 1,0 g Plv.z.Her.e.Lsg.z.Ein./Inf. | (Vancomycin-Standard);;No Match;444;1;vancomycin-standard;;;A07AA09;;;74;;;0;0;0;0;0;A;;;;0;;;J01XA01;5;;
STILNOX Filmtabletten | (Zolpidem);N05CF02;Fuzzy Match;443;1;zolpidem;N05CF02;;N05CF02;;;27;;;0;0;1;0;1;N;N;1;;1;;;0;5;;
PLAVIX 75 mg Filmtabletten | (Clopidogrel);;No Match;442;1;clopidogrel;;;B01AC04;B01AC34;;96;62.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
Cefuroxim (i.v.) 250 mg Inf. 30-60min LM:Aqua ad inj TM:NaCl 0,9%;;No Match;439;0;;;;J01DC02;;;71;;;0;0;0;0;0;J;;;;1;;;0;5;;
TAVOR  Tabletten | (Lorazepam);;No Match;436;1;lorazepam;N05BA06;;N05BA06;;;62;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Torem;;No Match;435;0;;;C03CA04;C03CA04;C01BC03;;100;57.0;;0;0;0;1;0;C;;;1;1;0;;0;5;;
PYRILAX 10 mg Suppositorien | (Bisacodyl);;No Match;435;1;bisacodyl;A06AB02;;A06AB02;;;37;;;0;0;1;0;0;A;;1;;1;;;0;5;;
PANTOPRAZOL Amneal 40 mg Plv.z.Herst.e.Injek.-Lsg. in 50ml NaCl 0,9%;;No Match;435;0;;;;A02BC02;;;84;;;0;0;0;0;0;A;;;;1;;;0;5;;
Pantozol 40 mg;;No Match;431;0;;;;A02BC02;N06AF04;;72;67.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
SPIRONOLACTON ratiopharm 50 mg Tabletten | (Spironolacton);;No Match;430;1;spironolacton;;;C03DA01;C03ED01;;96;66.0;;0;0;0;0;0;C;;;;1;0;;0;5;;
"[3 - Prä CYP, Uromitexan]
NATRIUMCHLORID Inf.Lsg.154";;No Match;430;0;;;;J05AF05;H05BX01;C09CA04;50;50.0;47.0;0;0;0;0;0;J;;;;0;0;0;V03AF01;5;zwei Medis?;V03AF01
FOLVERLAN 5 mg Tabletten | (Folsäure);;No Match;425;1;folsäure;B03BB01;;B03BB01;;;96;;;0;0;1;0;0;B;;1;;1;;;0;5;;
TAVOR Expidet 1,0 Täfelchen | (Lorazepam);;No Match;421;1;lorazepam;N05BA06;;N05BA06;;;94;;;0;0;1;0;0;N;;1;;1;;;0;5;;
RISPERIDON ratiopharm 1 mg Schmelztabletten | (Risperidon);;No Match;420;1;risperidon;N05AX08;;N05AX08;;;95;;;0;0;1;0;0;N;;1;;1;;;0;5;;
PARACETAMOL ratiopharm 500 mg Tabletten | (Paracetamol);;No Match;417;1;paracetamol;N02BE01;;N02BE01;;;96;;;0;0;1;0;0;N;;1;;1;;;0;5;;
ABILIFY Tabletten | (Aripiprazol);;No Match;414;1;aripiprazol;N05AX12;;N05AX12;;;78;;;0;0;1;0;0;N;;1;;1;;;0;5;;
LIXIANA 30 mg Filmtabletten | (Edoxaban);;No Match;413;1;edoxaban;B01AF03;;B01AF03;;;96;;;0;0;1;0;0;B;;1;;1;;;0;5;;
Femoralis peripherer Schmerzkatheter Naropin 0,2%;;No Match;404;0;;;;M02AA15;B01AB04;;51;50.0;;0;0;0;0;0;M;;;;0;0;;N01BB09;5;ATC Code N01BB09 korrekt?;N01BB09
ACIC 250 PI Via Pulver z.Herst.e.Infusionslösg. | (Aciclovir);;No Match;399;1;aciclovir;;;D06BB03;J05AB01;;100;67.0;;0;0;0;0;0;D;;;;0;1;;0;5;;
DIGITOXIN Philo Ampullen | (Digitoxin);;No Match;399;1;digitoxin;C01AA04;;C01AA04;;;77;;;0;0;1;0;0;C;;1;;1;;;0;5;;
Inf. E148 + Glucose 1% (i.v.) 250 mL;;No Match;398;0;;;;J07CA09;A10BB01;;48;47.0;;0;0;0;0;0;J;;;;0;0;;B05BB02;5;ATC Code BB05BB02 korrekt?;B05BB02
DECOSTRIOL 0,25 µg Weichkapseln | (Calcitriol);;No Match;395;1;calcitriol;;;A11CC04;;;74;;;0;0;0;0;0;A;;;;1;;;0;5;;
BICANORM magensaftresistente Tabletten | (Natrium-Ion, Natrium-Ion, Hydrogencarbonat-Ion);A02AH01;Fuzzy Match;393;1;natrium-ion, natrium-ion, hydrogencarbonat-ion;;;A02AH01;A09AA02;;100;73.0;;0;0;0;0;1;A;A;;;1;0;;0;5;;
NOVAMINSULFON ratioph.1 g/2 ml Inj.Lsg. Ampullen | (ab Saal);;No Match;393;1;ab saal;;;N02BB02;;;81;;;0;0;0;0;0;N;;;;1;;;0;5;;
Paracetamol (i.v.) 10 mg/mL Inf. 30min LM=TL NaCl 0,9%;;No Match;391;0;;;;N02BE01;;;76;;;0;0;0;0;0;N;;;;1;;;0;5;;
Ibuprofen;;No Match;388;0;;;M01AE01;M01AE01;;;100;;;0;0;0;1;0;M;;;1;1;;;0;5;;
Amlodipin 5 mg;;No Match;387;0;;;;C08CA01;;;79;;;0;0;0;0;0;C;;;;1;;;0;5;;
L-THYROXIN Henning Tabletten | (Levothyroxin);;No Match;387;1;levothyroxin;;;H03AA01;;;92;;;0;0;0;0;0;H;;;;1;;;0;5;;
VALSARTAN HEXAL 80 mg Filmtabletten | (Valsartan);;No Match;380;1;valsartan;;C09CA03;C09CA03;;;95;;;0;0;0;1;0;C;;;1;1;;;0;5;;
RANITIC Injekt Infusionslösungskonzentrat | (Ranitidin);;No Match;377;1;ranitidin;;;J01DH03;J01DI04;L01XC37;83;81.0;81.0;0;0;0;0;0;J;;;;0;0;0;A02BA02;5;ATC Code A02BA02 korrekt?;A02BA02
BUSCOPAN Injektionslösung | (Butylscopolaminium-Kation);;No Match;376;1;butylscopolaminium-kation;;;A03BB01;A03DB04;;77;76.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
LIXIANA 60 mg Filmtabletten | (Edoxaban);;No Match;376;1;edoxaban;B01AF03;;B01AF03;;;96;;;0;0;1;0;0;B;;1;;1;;;0;5;;
Ramipril;;No Match;372;0;;;;C09AA05;;;100;;;0;0;0;0;0;C;;;;1;;;0;5;;
HYDROCORTISON 100 Trockensubstanz mit Lösungsm. | (Hydrocortison);;No Match;371;1;hydrocortison;;;S01BA02;H02AB09;;76;66.0;;0;0;0;0;0;S;;;;0;1;;0;5;;
KREON 40.000 Hartkps.m.magensaftr.überz.Pellets | (Triacylglycerollipase, Amylase);;No Match;371;1;triacylglycerollipase, amylase;;;A09AA02;;;62;;;0;0;0;0;0;A;;;;1;;;0;5;;
Lantus;;No Match;369;0;;;A10AE04;A10AE04;N05BP03;;100;55.0;;0;0;0;1;0;A;;;1;1;0;;0;5;;
NaCl 0,9%;;No Match;365;0;;;B05CB01;B05CB01;H01BA02;;100;57.0;;0;0;0;1;0;B;;;0;0;0;;B05BB11;5;;
Ischadicus peripherer Schmerzkatheter Naropin 0,2%;;No Match;365;0;;;;M02AA15;V06DB50;V06DB52;56;49.0;48.0;0;0;0;0;0;M;;;;0;0;0;N01BB09;5;ATC Code N01BB09 korrekt?;N01BB09
MONO EMBOLEX 8.000 I.E.Prophyl.Sicherh.Spr. | (Certoparin natrium);;No Match;365;1;certoparin natrium;B01AB13;;B01AB13;;;80;;;0;0;1;0;0;B;;1;;1;;;0;5;;
VALSARTAN HEXAL 160 mg Filmtabletten | (Valsartan);;No Match;364;1;valsartan;;C09CA03;C09CA03;;;95;;;0;0;0;1;0;C;;;1;1;;;0;5;;
Paracetamol (i.v.) 10 mg/mL Inf. 30min LM=TL:NaCl 0,9%;;No Match;363;0;;;;N02BE01;;;76;;;0;0;0;0;0;N;;;;1;;;0;5;;
METOHEXAL Succ 23,75 mg Retardtabletten | (Metoprolol);;No Match;362;1;metoprolol;;C07AB02;C07AB02;;;95;;;0;0;0;1;0;C;;;1;1;;;0;5;;
VAGIMID 500 Filmtabletten | (Metronidazol);;No Match;362;1;metronidazol;;;P01AB01;J01XD01;D06BX01;41;34.0;32.0;0;0;0;0;0;P;;;;0;0;0;G01AF01;5;ATC Code J01XD01 korrekt?;G01AF01
L-THYROXIN 100 Henning Tabletten | (Levothyroxin);;No Match;362;1;levothyroxin;;;H03AA01;;;100;;;0;0;0;0;0;H;;;;1;;;0;5;;
AMOCLAV 875 mg+125 mg Filmtabletten | (Amoxicillin, Clavulansäure);;No Match;361;1;amoxicillin, clavulansäure;;;J01CR02;;;76;;;0;0;0;0;0;J;;;;1;;;0;5;;
PREDNISOLON 20 mg Jenapharm Tabletten | (Prednisolon);;No Match;361;1;prednisolon;;;H02AB06;;;79;;;0;0;0;0;0;H;;;;1;;;0;5;;
L-THYROXIN 50 Henning Tabletten | (Levothyroxin);;No Match;360;1;levothyroxin;;;H03AA01;;;100;;;0;0;0;0;0;H;;;;1;;;0;5;;
SERTRALIN HEXAL Filmtabletten | (Sertralin);;No Match;356;1;sertralin;N06AB06;;N06AB06;;;86;;;0;0;1;0;0;N;;1;;1;;;0;5;;
ORFIRIL long 300 mg Retardkapseln | (Valproinsäure);;No Match;353;1;valproinsäure;N03AG01;N03AG01;N03AG01;;;94;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
Sole;;No Match;352;0;;;;P02CA03;D11AX18;;67;57.0;;0;0;0;0;0;P;;;;0;0;;B05BB;4;ist es möglich hier einen ATC code zu finden?; B05BB, 
Kevatril;;No Match;349;0;;;;J07BK01;G01AF01;;62;57.0;;0;0;0;0;0;J;;;;0;0;;A04AA02;5;;
Ern. i.v: zentral SMOFKABIVEN 1100 kcal - 18h;;No Match;348;0;;;;B05BA10;;;64;;;0;0;0;0;0;B;;;;1;;;0;5;;
SEROQUEL Prolong 50 mg Retardtabletten | (Quetiapin);;No Match;347;1;quetiapin;N05AH04;N05AH04;N05AH04;;;95;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
"[4 - Cyclophosphamid EUVAS Schema]
NATRIUMCHLORID Inf.Lsg.154 über 2h";;No Match;347;0;;;;L01AA01;D01AE14;J05AB01;94;55.0;51.0;0;0;0;0;0;L;;;;1;0;0;0;5;Trägerlösung weglasen und nur ATC Code L01AA01 erkennen?;L01AA01
ASS 100 mg;;No Match;346;0;;;;A12CC02;N04BX01;A11CC02;64;64.0;62.0;0;0;0;0;0;A;;;;0;0;0;unspec;unspec;;
VALSARTAN HEXAL comp.160mg/12,5mg Filmtabletten | (Valsartan);;No Match;345;1;valsartan;;;C09CA03;C09DA23;;100;97.0;;0;0;0;0;0;C;;;;0;1;;0;5;;
RISPERIDON HEXAL 0,5 mg Filmtabletten | (Risperidon);;No Match;345;1;risperidon;N05AX08;N05AX08;N05AX08;;;95;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
PIPAMPERON HEXAL Saft 4 mg/ml | (Pipamperon);;No Match;345;1;pipamperon;N05AD05;;N05AD05;;;86;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Pantoprazol 20 mg;;No Match;342;0;;;;A02BC02;;;82;;;0;0;0;0;0;A;;;;1;;;0;5;;
PASPERTIN 10 mg/2 ml Ampullen | (Metoclopramid hydrochlorid, Metoclopramid);;No Match;339;1;metoclopramid hydrochlorid, metoclopramid;;;L04AA18;N06BA02;;69;67.0;;0;0;0;0;0;L;;;;0;0;;A03FA01;5;;
ELEKTROLYT Inf.-Lsg. 153;;No Match;338;0;;;;B05BB01;;;78;;;0;0;0;0;0;B;;;;1;;;0;5;;
GRANOCYTE 34;;No Match;336;0;;;L03AA10;L03AA10;C01DX12;;100;53.0;;0;0;0;1;0;L;;;1;1;0;;0;5;;
Paracetamol;;No Match;333;0;;;N02BE01;N02BE01;;;100;;;0;0;0;1;0;N;;;1;1;;;0;5;;
PANTOPRAZOL HEXAL magensaftres.Tabletten | (Pantoprazol);;No Match;332;1;pantoprazol;A02BC02;;A02BC02;;;87;;;0;0;1;0;0;A;;1;;1;;;0;5;;
DIAZEPAM ratiopharm Tabletten | (Diazepam);;No Match;332;1;diazepam;N05BA01;;N05BA01;;;90;;;0;0;1;0;0;N;;1;;1;;;0;5;;
LEPONEX  Tabletten | (Clozapin);;No Match;329;1;clozapin;N05AH02;;N05AH02;;;74;;;0;0;1;0;0;N;;1;;1;;;0;5;;
THIAMAZOL 20 mg Henning Filmtabletten | (Thiamazol);;No Match;328;1;thiamazol;H03BB02;;H03BB02;;;76;;;0;0;1;0;0;H;;1;;1;;;0;5;;
PROCORALAN 5 mg Filmtabletten | (Ivabradin);;No Match;327;1;ivabradin;C01EB17;;C01EB17;;;47;;;0;0;1;0;0;C;;1;;1;;;0;5;;
PALLADON 2,6 mg Hartkapseln | (Hydromorphon);;No Match;326;1;hydromorphon;N02AA03;;N02AA03;;;97;;;0;0;1;0;0;N;;1;;1;;;0;5;;
ELEKTROLYT Inf.-Lsg. 153 PE-Flasche | (Natrium-Ion, Kalium-Ion, Calcium-Ion, Chlorid);;No Match;326;1;natrium-ion, kalium-ion, calcium-ion, chlorid;;;B05BB01;;;78;;;0;0;0;0;0;B;;;;1;;;0;5;;
B) E154 250 ml;;No Match;326;0;;;;B02BD09;L04AB01;;56;48.0;;0;0;0;0;0;B;;;;0;0;;B05BB11;5;;
CIPROHEXAL 500 mg Filmtabletten | (Ciprofloxacin);;No Match;325;1;ciprofloxacin;;;J01MA02;;;97;;;0;0;0;0;0;J;;;;1;;;0;5;;
SERTRALIN HEXAL 50 mg Filmtabletten | (Sertralin);;No Match;324;1;sertralin;N06AB06;N06AB06;N06AB06;;;95;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
MIRTAZAPIN STADA 30 mg Filmtabletten | (Mirtazapin);;No Match;323;1;mirtazapin;N06AX11;;N06AX11;;;91;;;0;0;1;0;0;N;;1;;1;;;0;5;;
MELNEURIN 25 Filmtabletten | (Melperon);;No Match;322;1;melperon;N05AD03;;N05AD03;;;100;;;0;0;1;0;0;N;;1;;1;;;0;5;;
LEVETIRACETAM STADA 250 mg Filmtabletten | (Levetiracetam);;No Match;322;1;levetiracetam;N03AX14;;N03AX14;;;79;;;0;0;1;0;0;N;;1;;1;;;0;5;;
"URAPIDIL Stragen i.v. 50 mg Ampullen | (Urapidil)titrieren innerhalb des RR Zielbereichs";;No Match;321;1;urapidil) titrieren innerhalb des rr zielbereich;;C02CA06;C02CA06;;;100;;;0;0;0;1;0;C;;;1;1;;;0;5;;
DUROGESIC SMAT 75 µg/h 12,6mg Fentanyl/Pfl. | (Fentanyl);;No Match;321;1;fentanyl;;;N02AB03;;;90;;;0;0;0;0;0;N;;;;1;;;0;5;;
E 153 ml;;No Match;320;0;;;;A10AB01;A10AD01;;67;67.0;;0;0;0;0;0;A;;;;0;0;;B05BB01;5;;
Pantozol;;No Match;319;0;;;;N05CM22;D01AC20;A07FA01;57;53.0;53.0;0;0;0;0;0;N;;;;0;0;0;A02BC02;5;;
Sostril;;No Match;317;0;;;;C04AX21;N05CM22;C05AP01;67;62.0;62.0;0;0;0;0;0;C;;;;0;0;0;A02BA02;5;;
A) Wässerung mit NaCl 0,45% + Glucose 2,5% (3 Liter Beutel) ab 5:00 Uhr;;No Match;316;0;;;;A03HH10;V07AV;A03PP01;52;50.0;50.0;0;0;0;0;0;A;;;;0;0;0;B05BB02;5;Welcher ATC Code?;B05BB02
ACC LONG Brausetabletten | (Acetylcystein);;No Match;315;1;acetylcystein;;;R05CB01;;;73;;;0;0;0;0;0;R;;;;1;;;0;5;;
LEVETIRACETAM HEXAL 500 mg Filmtabletten | (Levetiracetam);;No Match;314;1;levetiracetam;N03AX14;N03AX14;N03AX14;;;96;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
ALA;;No Match;313;0;;;;V06CX50;V06DB50;L01XB01;67;60.0;60.0;0;0;0;0;0;V;;;;0;0;0;unspec;unspec;Welcher ATC Code?;Alpha-Linolensäure (ALA) gehört zur Gruppe der Omega-3-Fettsäuren. Nahrunsgergänzung, präparat nicht eindeutig
Kevatril 3mg;;No Match;313;0;;;;C02CA06;N05AX15;;72;70.0;;0;0;0;0;0;C;;;;0;0;;A04AA02;5;;
FLUOXETIN STADA 20 mg Tabletten | (Fluoxetin);;No Match;312;1;fluoxetin;N06AB03;;N06AB03;;;80;;;0;0;1;0;0;N;;1;;1;;;0;5;;
SANDIMMUN | (Ciclosporin);;No Match;310;1;ciclosporin;;L04AD01;L04AD01;;;100;;;0;0;0;1;0;L;;;1;1;;;0;5;;
Trazodon;;No Match;308;0;;;N06AX05;N06AX05;D08AG02;;100;63.0;;0;0;0;1;0;N;;;1;1;0;;0;5;;
INSPRA 25 mg Filmtabletten | (Eplerenon);;No Match;307;1;eplerenon;C03DA04;;C03DA04;;;87;;;0;0;1;0;0;C;;1;;1;;;0;5;;
Lasix 20 mg;;No Match;307;0;;;;C03CA01;V04BA20;;69;62.0;;0;0;0;0;0;C;;;;1;0;;0;5;;
SALBUTAMOL STADA Inhalat 5 mg/ml Lsg.f.e.Verneb. | (Salbutamol);;No Match;306;1;salbutamol;;;R03AC02;;;65;;;0;0;0;0;0;R;;;;1;;;0;5;;
Prednisolon mg;;No Match;305;0;;;;S01CA53;H02AB06;;88;88.0;;0;0;0;0;0;S;;;;0;1;;0;5;;
SPIRONOLACTON ratiopharm 25 mg Tabletten | (Spironolacton);;No Match;305;1;spironolacton;;;C03DA01;C03ED01;;94;66.0;;0;0;0;0;0;C;;;;1;0;;0;5;;
D) Wässerung mit NaCl 0,45% + Glucose 2,5% (Rest 3 Liter Beutel);;No Match;304;0;;;;A03HH10;V04BA20;C05CA01;52;48.0;47.0;0;0;0;0;0;A;;;;0;0;0;B05BB02;5;Welcher ATC Code?;B05BB02
BAYOTENSIN akut Phiolen Lösung zum Einnehmen | (Nitrendipin);;No Match;302;1;nitrendipin;C08CA08;;C08CA08;;;79;;;0;0;1;0;0;C;;1;;1;;;0;5;;
CALCIUM RATIOPHARM 500 mg Kautabletten | (Calcium-Ion);;No Match;301;1;calcium-ion;;;A12AA04;V03AE01;A12AX02;81;67.0;67.0;0;0;0;0;0;A;;;;1;0;0;0;5;;
